rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:23p1uP74XiVYCXjPP23Kz7","Flipperachi","FA9LA","Outlaw Productions",1,1,5,"110023"
2,"spotify:track:08GYLNhKthS3arMdXsveRI","Talwiinder, NDS, Rippy Grewal","Haseen","Talwiinder",1,2,291,"60095"
3,"spotify:track:0cYohCh24y1aMjJmcS9RBl","Karan Aujla, Ikky","For A Reason","WM Canada",1,6,112,"58514"
4,"spotify:track:0DCmf7066T5DAjiF8uahv1","Sabat Batin, Rackstar","Gal Sun","Giraffe Music",1,8,65,"58074"
5,"spotify:track:2GzjIHQ87BF2zgbmmthZzO","Talwiinder, Sanjoy","Tu","T-Series",3,10,182,"57450"
6,"spotify:track:3ExgWVPWOQts9RVBkqpdic","Karan Aujla, Ikky","Boyfriend","WM Canada",3,4,112,"56823"
7,"spotify:track:4XTgFBxBHN6var1BzAgE1m","Maanu, Annural Khalid","Jhol","Giraffe Music",1,3,545,"56563"
8,"spotify:track:2eqUVYJVnlDs8PgOtuOlJm","Jind Universe","High On You","Sony Music India / Nine",2,5,251,"55978"
9,"spotify:track:5RYXTC4G3RYYP6pUmaF6s2","Asim Azhar, Sabri Sisters","Meri Zindagi Hai Tu","ARY Digital",2,7,27,"54970"
10,"spotify:track:0febwTwLDSZzrt46i1RBF5","Zeeshan Ali","Ishqa Ve","Openmic Studios",8,9,45,"54620"
11,"spotify:track:4LMlVCXHJtCE9abhmn0mYo","Afusic, AliSoomroMusic","Pal Pal","Afusic",1,12,287,"47583"
12,"spotify:track:4D8eFUu6Hvulrq6CGqGaLR","Talwiinder, NDS","Khayaal","Sony Music Entertainment India Pvt. Ltd.",6,11,797,"46671"
13,"spotify:track:75OSVIdR2KPpEmViMt8MX2","Afusic, Talwiinder, AliSoomroMusic","Pal Pal (with Talwiinder)","Afusic",3,15,245,"45520"
14,"spotify:track:5rpCUsEfBLIumvrxrahnKF","Hasan Raheem, Umair, Talwiinder","Wishes","1698613 Records DK2",2,13,832,"44951"
15,"spotify:track:4Qm7r3ImER8S2Ori1gLMAf","Anuv Jain, AP Dhillon","Afsos","Universal Music India Pvt. Ltd. (on behalf of Anuv Jain, AP DHILLON INC/Republic Records)",1,14,316,"43311"
16,"spotify:track:0eLtIxPRNJfsmehITZ1qaJ","Aditya Rikhari","Sahiba","T-Series",1,16,163,"39605"
17,"spotify:track:1hlbywc8Jhl1FFqJxAMabE","Faheem Abdullah, Rauhan Malik, Amir Ameer","Ishq","Artiste First",1,17,639,"39450"
18,"spotify:track:1bMkimTb47umgNP6xCi4A1","Anuv Jain","Arz Kiya Hai | Coke Studio Bharat","Universal Music India Pvt Ltd.",1,18,114,"38976"
19,"spotify:track:5SSZtFWdrmFV4MxtlRA13N","Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil","Saiyaara","YRF Music",1,19,176,"38589"
20,"spotify:track:2ZzZ2qwZBWlDKs420hhloc","Bayaan, Hasan Raheem, Rovalio","Maand","Bayaan",1,20,363,"35957"
21,"spotify:track:5ThyDv6aRVU8AH4vXQNldF","Kushagra, Bharath, Saaheal","Finding Her","EYP Creations",5,21,272,"35294"
22,"spotify:track:1N5IwvKPg7PZeGi9Pvzvdo","Asim Azhar","Regardless","Asim Azhar",3,23,175,"34552"
23,"spotify:track:0S4PcH3EYQYIeLs6nLOpF1","Navaan Sandhu, Bir, Daaku","Deewane","Universal Music India Pvt Ltd.",20,24,69,"34338"
24,"spotify:track:0eCajpR75pDW0r64U6hP2x","Anuv Jain","Jo Tum Mere Ho","Universal Music India Pvt. Ltd. (on behalf of Anuv Jain)",1,22,495,"33591"
25,"spotify:track:40MgoUXdjPRk27R1Fp7EAp","Umair, Hasan Raheem","OBVIOUS (feat. Hasan Raheem)","Sony Music Middle East / South Asia",11,25,393,"31449"
26,"spotify:track:7wGgYAOMhhRObOGdWlJ9Hi","Talha Anjum, Umair","Departure Lane","Mass Appeal",1,26,379,"29332"
27,"spotify:track:5KLohKNLMLibqnG0FdmbvX","Karan Aujla, Ikky","MF Gabhru!","WM Canada",13,29,133,"27670"
28,"spotify:track:4d2jV5fmX6hbRwaRbY39dt","Karan Aujla, Jay Trak","Wavy","Karan Aujla Music",1,27,392,"27653"
29,"spotify:track:5PetOhEX9N0oyBB0Keqobv","Faheem Abdullah, Duha Shah, Vaibhav Pani, Hyder Dar","Ehsaas","Universal Music India Pvt Ltd.",12,28,166,"27441"
30,"spotify:track:05Xd5LJpv6cKDUavCg2EWh","Zeeshan Ali","Sajna da Dil Torya","ARY Digital",5,32,418,"26333"
31,"spotify:track:5UGrftqh9U3zKQUt3vs7Ob","Shubh","Supreme","Shubh",2,33,238,"25968"
32,"spotify:track:4BGfzLrK6lgvKDjKSU7wrN","Faheem Abdullah, Huzaif Nazar","Sajde","Artiste First",5,30,203,"25119"
33,"spotify:track:5J9L7IbadCt0ivs9xmNrr0","Zain Zohaib","Ranjheya Ve","Zain Zohaib",14,36,324,"24581"
34,"spotify:track:5xKr4HfdnYLMDmAJZkOuBc","Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan","Dhurandhar - Title Track (From ""Dhurandhar"")","Saregama India Ltd",34,43,8,"23947"
35,"spotify:track:3FqtduiaqnFYvBgKuc6QWQ","Karan Aujla, Seshnolan","Winning Speech","Karan Aujla",4,31,574,"23887"
36,"spotify:track:0xlWd9o8yjKpJ02WJy79kZ","Atif Aslam, Shreya Ghoshal","Tere Liye","Tips Music Limited",34,40,205,"23573"
37,"spotify:track:6YNl1rXbhKvmbMrw9cp3RQ","Kaavish, Quratulain Balouch","Faasle","Mainstage Productions",17,35,783,"23196"
38,"spotify:track:0mWYexF10TClNnseYf009u","Hasan Raheem, Shehryar Khan","Nashe Me Hun","D36/Sony Music Entertainment",38,42,63,"23196"
39,"spotify:track:5XseQZ9TGr06Rv1Ye6wCu0","Yashraj, Dropped Out, Talwiinder","Dhundhala","Universal Music India Pvt. Ltd. (on behalf of Yashraj)",7,37,1060,"23076"
40,"spotify:track:2JgTFjNOi9fsXsnmANnYWu","Talwiinder, Vision","Nasha","Talwiinder",28,38,863,"22868"
41,"spotify:track:3anHs4ijBd3Iw0E0fBPwtH","Ashish Bhatia, Omkar Singh, Kashish Ratnani","Kashish","Sony Music India / Nine",11,39,155,"22679"
42,"spotify:track:7Csa4PStpuYIfUqNMKQ4V8","The Rish, Jubin Nautiyal","Barbaad (From ""Saiyaara"")","YRF Music",19,41,145,"22667"
43,"spotify:track:5IvGrMBjvL25j42aIKDvZ9","Samar Jafri","Chalo Door Kahin","Samar Jafri",11,44,55,"22295"
44,"spotify:track:1d5lpW3gUyq537iuyrb9Lf","Aditya Rikhari","Samjho Na","CollabX Productions",4,34,1307,"22221"
45,"spotify:track:4yQQJ9Tj3DDYG3zgHhEgtq","Asim Azhar, Qirat Haider","Baat (From ""Meem Se Mohabbat"")","HUM Network Limited",12,46,306,"22204"
46,"spotify:track:7EpVfR8TL9o3k4wIo4oqw1","Nehaal Naseem, Haider Ali","Pyaar Kyun Banaya","Nehaal Naseem",46,47,15,"21874"
47,"spotify:track:6JB0h4leDJ4Akabtu42Epd","Kaavish","Tere Pyar Main","Geo Entertainment",19,45,453,"21571"
48,"spotify:track:3QsGq1Xd1n8qc9hwSPzQgj","Guru Randhawa, Kiran Bajwa, Rony Ajnali","Sirra","Warner Music India",10,53,144,"21237"
49,"spotify:track:1JioaCninhpfY1filFEIZi","AP Dhillon, Shinda Kahlon","STFU","AP Dhillon",4,51,224,"21236"
50,"spotify:track:2KQBM1PYjg2ZpeA5xbTjrJ","Cheema Y, Gur Sidhu","Tutor","Brown Town Music",28,57,60,"20616"
