rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:23p1uP74XiVYCXjPP23Kz7","Flipperachi","FA9LA","Outlaw Productions",1,1,7,"109484"
2,"spotify:track:08GYLNhKthS3arMdXsveRI","Talwiinder, NDS, Rippy Grewal","Haseen","Talwiinder",1,2,293,"66565"
3,"spotify:track:2eqUVYJVnlDs8PgOtuOlJm","Jind Universe","High On You","Sony Music India / Nine",2,4,253,"65917"
4,"spotify:track:0cYohCh24y1aMjJmcS9RBl","Karan Aujla, Ikky","For A Reason","WM Canada",1,5,114,"63948"
5,"spotify:track:3ExgWVPWOQts9RVBkqpdic","Karan Aujla, Ikky","Boyfriend","WM Canada",3,3,114,"62162"
6,"spotify:track:0DCmf7066T5DAjiF8uahv1","Sabat Batin, Rackstar","Gal Sun","Giraffe Music",1,6,67,"61050"
7,"spotify:track:4XTgFBxBHN6var1BzAgE1m","Maanu, Annural Khalid","Jhol","Giraffe Music",1,7,547,"60901"
8,"spotify:track:5RYXTC4G3RYYP6pUmaF6s2","Asim Azhar, Sabri Sisters","Meri Zindagi Hai Tu","ARY Digital",2,9,29,"58788"
9,"spotify:track:2GzjIHQ87BF2zgbmmthZzO","Talwiinder, Sanjoy","Tu","T-Series",3,8,184,"57421"
10,"spotify:track:0eLtIxPRNJfsmehITZ1qaJ","Aditya Rikhari","Sahiba","T-Series",1,16,165,"54766"
11,"spotify:track:0febwTwLDSZzrt46i1RBF5","Zeeshan Ali","Ishqa Ve","Openmic Studios",8,10,47,"53922"
12,"spotify:track:4D8eFUu6Hvulrq6CGqGaLR","Talwiinder, NDS","Khayaal","Sony Music Entertainment India Pvt. Ltd.",6,12,799,"53567"
13,"spotify:track:4LMlVCXHJtCE9abhmn0mYo","Afusic, AliSoomroMusic","Pal Pal","Afusic",1,11,289,"52906"
14,"spotify:track:5rpCUsEfBLIumvrxrahnKF","Hasan Raheem, Umair, Talwiinder","Wishes","1698613 Records DK2",2,13,834,"52328"
15,"spotify:track:75OSVIdR2KPpEmViMt8MX2","Afusic, Talwiinder, AliSoomroMusic","Pal Pal (with Talwiinder)","Afusic",3,14,247,"49412"
16,"spotify:track:4Qm7r3ImER8S2Ori1gLMAf","Anuv Jain, AP Dhillon","Afsos","Universal Music India Pvt. Ltd. (on behalf of Anuv Jain, AP DHILLON INC/Republic Records)",1,15,318,"46915"
17,"spotify:track:1hlbywc8Jhl1FFqJxAMabE","Faheem Abdullah, Rauhan Malik, Amir Ameer","Ishq","Artiste First",1,17,641,"41940"
18,"spotify:track:1bMkimTb47umgNP6xCi4A1","Anuv Jain","Arz Kiya Hai | Coke Studio Bharat","Universal Music India Pvt Ltd.",1,18,116,"39582"
19,"spotify:track:5SSZtFWdrmFV4MxtlRA13N","Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil","Saiyaara","YRF Music",1,19,178,"39371"
20,"spotify:track:2ZzZ2qwZBWlDKs420hhloc","Bayaan, Hasan Raheem, Rovalio","Maand","Bayaan",1,20,365,"38738"
21,"spotify:track:40MgoUXdjPRk27R1Fp7EAp","Umair, Hasan Raheem","OBVIOUS (feat. Hasan Raheem)","Sony Music Middle East / South Asia",11,23,395,"38466"
22,"spotify:track:5ThyDv6aRVU8AH4vXQNldF","Kushagra, Bharath, Saaheal","Finding Her","EYP Creations",5,21,274,"37879"
23,"spotify:track:1N5IwvKPg7PZeGi9Pvzvdo","Asim Azhar","Regardless","Asim Azhar",3,22,177,"36311"
24,"spotify:track:0eCajpR75pDW0r64U6hP2x","Anuv Jain","Jo Tum Mere Ho","Universal Music India Pvt. Ltd. (on behalf of Anuv Jain)",1,24,497,"35791"
25,"spotify:track:0S4PcH3EYQYIeLs6nLOpF1","Navaan Sandhu, Bir, Daaku","Deewane","Universal Music India Pvt Ltd.",20,25,71,"35040"
26,"spotify:track:7wGgYAOMhhRObOGdWlJ9Hi","Talha Anjum, Umair","Departure Lane","Mass Appeal",1,26,381,"32499"
27,"spotify:track:4d2jV5fmX6hbRwaRbY39dt","Karan Aujla, Jay Trak","Wavy","Karan Aujla Music",1,28,394,"31046"
28,"spotify:track:5KLohKNLMLibqnG0FdmbvX","Karan Aujla, Ikky","MF Gabhru!","WM Canada",13,27,135,"29250"
29,"spotify:track:5PetOhEX9N0oyBB0Keqobv","Faheem Abdullah, Duha Shah, Vaibhav Pani, Hyder Dar","Ehsaas","Universal Music India Pvt Ltd.",12,29,168,"28296"
30,"spotify:track:5UGrftqh9U3zKQUt3vs7Ob","Shubh","Supreme","Shubh",2,30,240,"26963"
31,"spotify:track:4BGfzLrK6lgvKDjKSU7wrN","Faheem Abdullah, Huzaif Nazar","Sajde","Artiste First",5,31,205,"26665"
32,"spotify:track:2JgTFjNOi9fsXsnmANnYWu","Talwiinder, Vision","Nasha","Talwiinder",28,38,865,"26461"
33,"spotify:track:5XseQZ9TGr06Rv1Ye6wCu0","Yashraj, Dropped Out, Talwiinder","Dhundhala","Universal Music India Pvt. Ltd. (on behalf of Yashraj)",7,41,1062,"26290"
34,"spotify:track:1d5lpW3gUyq537iuyrb9Lf","Aditya Rikhari","Samjho Na","CollabX Productions",4,49,1309,"26140"
35,"spotify:track:3FqtduiaqnFYvBgKuc6QWQ","Karan Aujla, Seshnolan","Winning Speech","Karan Aujla",4,36,576,"25740"
36,"spotify:track:0xlWd9o8yjKpJ02WJy79kZ","Atif Aslam, Shreya Ghoshal","Tere Liye","Tips Music Limited",34,37,207,"25651"
37,"spotify:track:5xKr4HfdnYLMDmAJZkOuBc","Shashwat Sachdev, Hanumankind, Jasmine Sandlas, Sudhir Yaduvanshi, Charanjit Ahuja, Muhammad Sadiq, Ranjit Kaur, Babu Singh Maan","Dhurandhar - Title Track (From ""Dhurandhar"")","Saregama India Ltd",32,32,10,"25542"
38,"spotify:track:0mWYexF10TClNnseYf009u","Hasan Raheem, Shehryar Khan","Nashe Me Hun","D36/Sony Music Entertainment",35,35,65,"25499"
39,"spotify:track:5J9L7IbadCt0ivs9xmNrr0","Zain Zohaib","Ranjheya Ve","Zain Zohaib",14,33,326,"25419"
40,"spotify:track:05Xd5LJpv6cKDUavCg2EWh","Zeeshan Ali","Sajna da Dil Torya","ARY Digital",5,34,420,"24880"
41,"spotify:track:6YNl1rXbhKvmbMrw9cp3RQ","Kaavish, Quratulain Balouch","Faasle","Mainstage Productions",17,42,785,"24585"
42,"spotify:track:3anHs4ijBd3Iw0E0fBPwtH","Ashish Bhatia, Omkar Singh, Kashish Ratnani","Kashish","Sony Music India / Nine",11,39,157,"23911"
43,"spotify:track:7Csa4PStpuYIfUqNMKQ4V8","The Rish, Jubin Nautiyal","Barbaad (From ""Saiyaara"")","YRF Music",19,40,147,"23112"
44,"spotify:track:44LaY2y6wRRlSRjsqbKnuU","Maanu, Annural Khalid, Abdullah Siddiqui","Jhol - Acoustic","Maanu",16,53,312,"22961"
45,"spotify:track:5IvGrMBjvL25j42aIKDvZ9","Samar Jafri","Chalo Door Kahin","Samar Jafri",11,43,57,"22660"
46,"spotify:track:3QsGq1Xd1n8qc9hwSPzQgj","Guru Randhawa, Kiran Bajwa, Rony Ajnali","Sirra","Warner Music India",10,44,146,"22618"
47,"spotify:track:1JioaCninhpfY1filFEIZi","AP Dhillon, Shinda Kahlon","STFU","AP Dhillon",4,46,226,"22294"
48,"spotify:track:2KQBM1PYjg2ZpeA5xbTjrJ","Cheema Y, Gur Sidhu","Tutor","Brown Town Music",28,52,62,"21946"
49,"spotify:track:7EpVfR8TL9o3k4wIo4oqw1","Nehaal Naseem, Haider Ali","Pyaar Kyun Banaya","Nehaal Naseem",46,47,17,"21875"
50,"spotify:track:1dlCoq7vdDnuAzo3DYPTY4","Karan Aujla, Ikky","Daytona","WM Canada",35,51,114,"21742"
51,"spotify:track:0q5e5KtUOhYQujmhLP0pKd","Paresh Pahuja, Shiv Tandan, Meghdeep Bose","Dooron Dooron","Paresh Pahuja",50,59,103,"21479"
52,"spotify:track:3nKO2BajBQ1wNJd5f2eJhw","Shubh","Balenci","Shubh",21,50,113,"21475"
53,"spotify:track:0mwAlZqPUWpZJIut93y40W","Gajendra Verma","Mann Mera","Sony Music / EROS Music",33,55,1030,"21380"
54,"spotify:track:6JB0h4leDJ4Akabtu42Epd","Kaavish","Tere Pyar Main","Geo Entertainment",19,45,455,"21355"
55,"spotify:track:1SPuc7uit9YBlua4eaVz06","Talwiinder","Gallan 4","Talwiinder",43,60,428,"21340"
56,"spotify:track:4yQQJ9Tj3DDYG3zgHhEgtq","Asim Azhar, Qirat Haider","Baat (From ""Meem Se Mohabbat"")","HUM Network Limited",12,48,308,"21120"
57,"spotify:track:0oOVxu88I7Bj9jjDnXVRus","Hasan Raheem, Umair","Radha","1698613 Records DK2",21,57,279,"21102"
58,"spotify:track:0Q9rHyEG7lME4y2Fqtuxgl","sufr, Arpit Bala, toorjo dey","bargad","Sony Music India / Brown",53,56,19,"21091"
59,"spotify:track:4vHRQnzGcKEtqsLH70tAms","Sachet-Parampara, Parampara Tandon, Kausar Munir","Raanjhan (From ""Do Patti"")","T-Series",4,58,417,"20881"
60,"spotify:track:5i2jG0ScOY5B40sTHMeb08","Sidhu Moose Wala, The Kidd","Barota","Sidhu Moose Wala",28,54,16,"20779"
61,"spotify:track:5fBghXeYCGIEVuExKytoJ9","Shubh","Fell For You","SHUBH",10,62,331,"19966"
62,"spotify:track:1Ae2O8GhTe5KiDrrurzm41","Karan Aujla, Ikky","At Peace","WM Canada",14,64,171,"19609"
