rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:23p1uP74XiVYCXjPP23Kz7","Flipperachi","FA9LA","Outlaw Productions",1,1,9,"77367"
2,"spotify:track:08GYLNhKthS3arMdXsveRI","Talwiinder, NDS, Rippy Grewal","Haseen","Talwiinder",1,2,295,"63845"
3,"spotify:track:2eqUVYJVnlDs8PgOtuOlJm","Jind Universe","High On You","Sony Music India / Nine",2,3,255,"59893"
4,"spotify:track:5RYXTC4G3RYYP6pUmaF6s2","Asim Azhar, Sabri Sisters","Meri Zindagi Hai Tu","ARY Digital",2,8,31,"56289"
5,"spotify:track:3ExgWVPWOQts9RVBkqpdic","Karan Aujla, Ikky","Boyfriend","WM Canada",3,7,116,"56240"
6,"spotify:track:0cYohCh24y1aMjJmcS9RBl","Karan Aujla, Ikky","For A Reason","WM Canada",1,4,116,"55447"
7,"spotify:track:0febwTwLDSZzrt46i1RBF5","Zeeshan Ali","Ishqa Ve","Openmic Studios",7,9,49,"53467"
8,"spotify:track:4XTgFBxBHN6var1BzAgE1m","Maanu, Annural Khalid","Jhol","Giraffe Music",1,6,549,"53363"
9,"spotify:track:0DCmf7066T5DAjiF8uahv1","Sabat Batin, Rackstar","Gal Sun","Giraffe Music",1,5,69,"52871"
10,"spotify:track:2GzjIHQ87BF2zgbmmthZzO","Talwiinder, Sanjoy","Tu","T-Series",3,10,186,"50713"
11,"spotify:track:4LMlVCXHJtCE9abhmn0mYo","Afusic, AliSoomroMusic","Pal Pal","Afusic",1,11,291,"45109"
12,"spotify:track:5rpCUsEfBLIumvrxrahnKF","Hasan Raheem, Umair, Talwiinder","Wishes","1698613 Records DK2",2,12,836,"44735"
13,"spotify:track:4D8eFUu6Hvulrq6CGqGaLR","Talwiinder, NDS","Khayaal","Sony Music Entertainment India Pvt. Ltd.",6,13,801,"44617"
