rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:2eqUVYJVnlDs8PgOtuOlJm","Jind Universe","High On You","Sony Music India / Nine",1,3,257,"65804"
2,"spotify:track:23p1uP74XiVYCXjPP23Kz7","Flipperachi","FA9LA","Outlaw Productions",1,1,11,"64806"
3,"spotify:track:08GYLNhKthS3arMdXsveRI","Talwiinder, NDS, Rippy Grewal","Haseen","Talwiinder",1,2,297,"64280"
4,"spotify:track:3ExgWVPWOQts9RVBkqpdic","Karan Aujla, Ikky","Boyfriend","WM Canada",3,5,118,"59204"
5,"spotify:track:0cYohCh24y1aMjJmcS9RBl","Karan Aujla, Ikky","For A Reason","WM Canada",1,4,118,"58258"
6,"spotify:track:0febwTwLDSZzrt46i1RBF5","Zeeshan Ali","Ishqa Ve","Openmic Studios",6,6,51,"57821"
7,"spotify:track:0DCmf7066T5DAjiF8uahv1","Sabat Batin, Rackstar","Gal Sun","Giraffe Music",1,9,71,"57697"
8,"spotify:track:5RYXTC4G3RYYP6pUmaF6s2","Asim Azhar, Sabri Sisters","Meri Zindagi Hai Tu","ARY Digital",2,7,33,"54990"
9,"spotify:track:2GzjIHQ87BF2zgbmmthZzO","Talwiinder, Sanjoy","Tu","T-Series",3,10,188,"54325"
10,"spotify:track:4XTgFBxBHN6var1BzAgE1m","Maanu, Annural Khalid","Jhol","Giraffe Music",1,8,551,"51230"
11,"spotify:track:4D8eFUu6Hvulrq6CGqGaLR","Talwiinder, NDS","Khayaal","Sony Music Entertainment India Pvt. Ltd.",6,12,803,"49079"
12,"spotify:track:4LMlVCXHJtCE9abhmn0mYo","Afusic, AliSoomroMusic","Pal Pal","Afusic",1,11,293,"47390"
13,"spotify:track:5rpCUsEfBLIumvrxrahnKF","Hasan Raheem, Umair, Talwiinder","Wishes","1698613 Records DK2",2,14,838,"47177"
14,"spotify:track:4Qm7r3ImER8S2Ori1gLMAf","Anuv Jain, AP Dhillon","Afsos","Universal Music India Pvt. Ltd. (on behalf of Anuv Jain, AP DHILLON INC/Republic Records)",1,15,322,"46402"
15,"spotify:track:75OSVIdR2KPpEmViMt8MX2","Afusic, Talwiinder, AliSoomroMusic","Pal Pal (with Talwiinder)","Afusic",3,16,251,"42280"
16,"spotify:track:0eLtIxPRNJfsmehITZ1qaJ","Aditya Rikhari","Sahiba","T-Series",1,13,169,"41354"
17,"spotify:track:1hlbywc8Jhl1FFqJxAMabE","Faheem Abdullah, Rauhan Malik, Amir Ameer","Ishq","Artiste First",1,17,645,"40315"
18,"spotify:track:1bMkimTb47umgNP6xCi4A1","Anuv Jain","Arz Kiya Hai | Coke Studio Bharat","Universal Music India Pvt Ltd.",1,19,120,"38240"
19,"spotify:track:40MgoUXdjPRk27R1Fp7EAp","Umair, Hasan Raheem","OBVIOUS (feat. Hasan Raheem)","Sony Music Middle East / South Asia",11,20,399,"36668"
20,"spotify:track:5SSZtFWdrmFV4MxtlRA13N","Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil","Saiyaara","YRF Music",1,21,182,"36248"
21,"spotify:track:5ThyDv6aRVU8AH4vXQNldF","Kushagra, Bharath, Saaheal","Finding Her","EYP Creations",5,18,278,"35330"
22,"spotify:track:0S4PcH3EYQYIeLs6nLOpF1","Navaan Sandhu, Bir, Daaku","Deewane","Universal Music India Pvt Ltd.",20,23,75,"35216"
23,"spotify:track:1N5IwvKPg7PZeGi9Pvzvdo","Asim Azhar","Regardless","Asim Azhar",3,25,181,"35114"
24,"spotify:track:2ZzZ2qwZBWlDKs420hhloc","Bayaan, Hasan Raheem, Rovalio","Maand","Bayaan",1,24,369,"33557"
25,"spotify:track:0eCajpR75pDW0r64U6hP2x","Anuv Jain","Jo Tum Mere Ho","Universal Music India Pvt. Ltd. (on behalf of Anuv Jain)",1,22,501,"33294"
