rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:0cYohCh24y1aMjJmcS9RBl","Karan Aujla, Ikky","For A Reason","WM Canada",1,3,104,"59616"
2,"spotify:track:08GYLNhKthS3arMdXsveRI","Talwiinder, NDS, Rippy Grewal","Haseen","Talwiinder",1,2,283,"58914"
3,"spotify:track:0DCmf7066T5DAjiF8uahv1","Sabat Batin, Rackstar","Gal Sun","Giraffe Music",1,1,57,"58221"
4,"spotify:track:4XTgFBxBHN6var1BzAgE1m","Maanu, Annural Khalid","Jhol","Giraffe Music",1,6,537,"57231"
5,"spotify:track:3ExgWVPWOQts9RVBkqpdic","Karan Aujla, Ikky","Boyfriend","WM Canada",3,5,104,"56849"
6,"spotify:track:5RYXTC4G3RYYP6pUmaF6s2","Asim Azhar, Sabri Sisters","Meri Zindagi Hai Tu","ARY Digital",2,4,19,"56846"
7,"spotify:track:2eqUVYJVnlDs8PgOtuOlJm","Jind Universe","High On You","Sony Music India / Nine",2,7,243,"55316"
8,"spotify:track:0febwTwLDSZzrt46i1RBF5","Zeeshan Ali","Ishqa Ve","Openmic Studios",8,8,37,"51921"
9,"spotify:track:2GzjIHQ87BF2zgbmmthZzO","Talwiinder, Sanjoy","Tu","T-Series",3,9,174,"49939"
10,"spotify:track:4LMlVCXHJtCE9abhmn0mYo","Afusic, AliSoomroMusic","Pal Pal","Afusic",1,10,279,"48541"
11,"spotify:track:4D8eFUu6Hvulrq6CGqGaLR","Talwiinder, NDS","Khayaal","Sony Music Entertainment India Pvt. Ltd.",6,11,789,"47469"
12,"spotify:track:0eLtIxPRNJfsmehITZ1qaJ","Aditya Rikhari","Sahiba","T-Series",1,12,155,"41377"
13,"spotify:track:4Qm7r3ImER8S2Ori1gLMAf","Anuv Jain, AP Dhillon","Afsos","Universal Music India Pvt. Ltd. (on behalf of Anuv Jain, AP DHILLON INC/Republic Records)",1,16,308,"40575"
14,"spotify:track:5SSZtFWdrmFV4MxtlRA13N","Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Irshad Kamil","Saiyaara","YRF Music",1,14,168,"40367"
15,"spotify:track:75OSVIdR2KPpEmViMt8MX2","Afusic, Talwiinder, AliSoomroMusic","Pal Pal (with Talwiinder)","Afusic",3,15,237,"39667"
